关键词,描述,来源,排名,时间
用人民币感受冰岛物价,鱼老斯等人在冰岛因感受当地物价高昂而分享体验，结果显示日常开销不小，引发网友热议和转发。,微博,1,24/11/10-19:37:09
美国滞留太空宇航员瘦成锥子脸,在国际空间站滞留超过300天的美国女宇航员苏尼塔·威廉姆斯因饮食不足瘦成锥子脸，美国航天局坚称她健康安全，但网友纷纷担心她的状况并呼吁提供更多支持。,微博,2,24/11/10-19:37:09
进博会服务贸易展区体验感满满,馆陶县文广旅局负责人连小兵在推动县域旅游业高质量发展方面提出新思路，而丛台区文化广电和旅游局通过整合本地旅游资源，吸引社会力量参与，构建消费场景，提升了当地文旅产业活力；网友对此表示认可并期待更多创新举措。,微博,3,24/11/10-19:37:09
天猫双11最后一波大额券开用,有人在微博上分享了自己参与天猫双11狂欢的经历，并表示虽然最初许愿希望有个懂自己的人，但最终却因疯狂购物吸引了众多关注，得到了不少网友的点赞和转发。,微博,4,24/11/10-19:37:09
慕声好感度已达99%,在湖南长沙，慕声因好感度达到99%而与凌妙妙和好，网友们对此表示激动和高兴，并纷纷点赞留言庆祝这对CP的好消息。,微博,5,24/11/10-19:37:09
拉夫劳伦退货率达95%成凑单神器,在湖南长沙，有人发现拉夫劳伦退货率达95%，被网友称为凑单神器，很多人采用支付后退货的方法节省开支，商家无奈但认可这种策略提高了销量，但也引来争议和批评。,微博,6,24/11/10-19:37:09
中国政府就黄岩岛领海基线发表声明,中国外交部宣布黄岩岛领海基线，回应菲律宾海洋区域法，称其侵犯中国主权并采取必要措施；黄岩岛是中国固有领土，该声明得到官方媒体支持，强调坚决捍卫国家权益。,微博,7,24/11/10-19:37:09
在进博会看创新药械,在上海进博会，诺和诺德展示了每周只需注射一次的基础胰岛素药物诺和佳，并宣布预计月底上市。患者试用后反馈注射次数减少，提高了治疗依从性，但仍关注价格问题。网友对此表示期待其进入医保以惠及更多患者。,微博,8,24/11/10-19:37:09
永夜星河,永夜星河剧组在长沙因拍摄进展顺利而引发粉丝热议，丁禹兮、费启鸣等主演的动态不断更新，引发大量转发和评论，网友对剧情表示高度关注和支持。,微博,9,24/11/10-19:37:09
这里是中国黄岩岛海域,中国政府在声明中公布了黄岩岛领海基线，以明确对黄岩岛的主权主张，并警告菲律宾不要非法占有所谓海域，否则将视为入侵。中国此举得到国内网友支持，认为坚守领土完整是理所当然的事情。,微博,10,24/11/10-19:37:09
